Year,Month,CO2,CH4,N2O,CFC-11,CFC-12,MEI,TSI,Aerosols,Temp
1983,5,345.96,1638.59,303.677,191.324,350.113,2.556,1366.1024,0.0863,0.109
1983,6,345.52,1633.71,303.746,192.057,351.848,2.167,1366.1208,0.0794,0.118
1983,7,344.15,1633.22,303.795,192.818,353.725,1.741,1366.285,0.0731,0.137
1983,8,342.25,1631.35,303.839,193.602,355.633,1.13,1366.4202,0.0673,0.176
1983,9,340.17,1648.4,303.901,194.392,357.465,0.428,1366.2335,0.0619,0.149
1983,10,340.3,1663.79,303.97,195.171,359.174,0.002,1366.0589,0.0569,0.093
1983,11,341.53,1658.23,304.032,195.921,360.758,-0.176,1366.1072,0.0524,0.232
1983,12,343.07,1654.31,304.082,196.609,362.174,-0.176,1366.0607,0.0486,0.078
1984,1,344.05,1658.98,304.13,197.219,363.359,-0.339,1365.4261,0.0451,0.089
1984,2,344.77,1656.48,304.194,197.759,364.296,-0.565,1365.6618,0.0416,0.013
1984,3,345.46,1655.77,304.285,198.249,365.044,0.131,1366.1697,0.0383,0.049
1984,4,346.77,1657.68,304.389,198.723,365.692,0.331,1365.566,0.0352,-0.019
1984,5,347.55,1649.33,304.489,199.233,366.317,0.121,1365.7783,0.0324,0.065
1984,6,346.98,1634.13,304.593,199.858,367.029,-0.142,1366.0956,0.0302,-0.016
1984,7,345.55,1629.89,304.722,200.671,367.893,-0.138,1366.1145,0.0282,-0.024
1984,8,343.2,1643.67,304.871,201.71,368.843,-0.179,1365.9781,0.026,0.034
1984,9,341.35,1663.6,305.021,202.972,369.8,-0.082,1365.8669,0.0239,0.025
1984,10,341.68,1674.65,305.158,204.407,370.782,0.016,1365.7869,0.022,-0.035
1984,11,343.06,1677.1,305.263,205.893,371.77,-0.351,1365.6802,0.0202,-0.123
1984,12,344.54,1672.15,305.313,207.308,372.701,-0.611,1365.7617,0.0188,-0.282
1985,1,345.25,1663.42,305.301,208.537,373.623,-0.561,1365.6082,0.0164,-0.001
1985,2,346.06,1666.21,305.243,209.543,374.681,-0.602,1365.7085,0.016,-0.155
1985,3,347.66,1678.34,305.165,210.368,376.004,-0.737,1365.657,0.0141,-0.032
1985,4,348.2,1675.24,305.093,211.111,377.635,-0.484,1365.512,0.0138,-0.042
1985,5,348.92,1666.83,305.045,211.823,379.539,-0.731,1365.6366,0.0128,0.001
1985,6,348.4,1659.4,305.027,212.512,381.642,-0.086,1365.6964,0.0126,-0.049
1985,7,346.66,1654.25,305.049,213.165,383.905,-0.156,1365.6509,0.0121,-0.042
1985,8,344.85,1654.41,305.126,213.803,386.223,-0.392,1365.7499,0.0116,0.013
1985,9,343.2,1668.31,305.25,214.501,388.5,-0.541,1365.6653,0.0102,-0.035
1985,10,343.08,1681.56,305.395,215.327,390.676,-0.14,1365.5269,0.0101,-0.008
1985,11,344.4,1680.68,305.53,216.282,392.714,-0.05,1365.6289,0.0097,-0.093
1985,12,345.82,1677.99,305.653,217.326,394.539,-0.293,1365.6794,0.0122,-0.002
1986,1,346.54,1675.82,305.775,218.382,396.082,-0.307,1365.6746,0.0146,0.121
1986,2,347.13,1666.83,305.911,219.379,397.345,-0.191,1365.5475,0.0158,0.065
1986,3,348.05,1672.87,306.055,220.315,398.41,0.033,1365.6797,0.0144,0.049
1986,4,349.77,1688.51,306.201,221.245,399.398,-0.169,1365.6531,0.0147,0.045
1986,5,350.53,1686.02,306.351,222.197,400.393,0.305,1365.7275,0.014,0.023
1986,6,349.9,1685.06,306.512,223.189,401.487,0.311,1365.6615,0.013,0.055
1986,7,348.11,1682.79,306.672,224.236,402.711,0.384,1365.6509,0.0128,0.004
1986,8,346.09,1670.57,306.8,225.302,404.06,0.804,1365.5989,0.014,-0.001
1986,9,345.01,1680.44,306.867,226.343,405.584,1.166,1365.6034,0.0126,0.016
1986,10,344.47,1691.19,306.86,227.325,407.328,0.996,1365.6465,0.0126,0.043
1986,11,345.86,1692.49,306.779,228.224,409.211,0.872,1365.7097,0.0123,-0.033
1986,12,347.15,1698.08,306.612,229.058,411.112,1.183,1365.6717,0.012,0.022
1987,1,348.38,1692.74,306.368,229.846,412.92,1.237,1365.6674,0.0118,0.116
1987,2,348.7,1690.41,306.083,230.592,414.572,1.185,1365.659,0.0111,0.266
1987,3,349.72,1695.08,305.812,231.325,416.063,1.724,1365.6693,0.0109,0.021
1987,4,351.32,1696.18,305.433,232.098,417.549,1.865,1365.6385,0.0104,0.084
1987,5,352.14,1694.75,305.542,232.939,418.723,2.122,1365.7561,0.0101,0.145
1987,6,351.61,1687.78,305.865,233.798,420.222,1.904,1365.8307,0.0105,0.121
1987,7,349.91,1681.24,306.138,234.778,422.707,1.847,1365.8223,0.0108,0.238
1987,8,347.84,1678.77,306.095,235.789,426.191,1.951,1365.786,0.0108,0.219
1987,9,346.52,1681.62,306.178,237.075,428.871,1.835,1365.857,0.0104,0.25
1987,10,346.65,1701.48,306.252,238.697,431.542,1.61,1365.8508,0.0094,0.174
1987,11,347.96,1716.57,306.393,239.588,433.915,1.253,1365.9837,0.0089,0.186
1987,12,349.18,1708.14,306.503,240.058,436,1.251,1366.035,0.0089,0.314
1988,1,350.38,1698.29,306.636,241.155,438.296,1.092,1366.0546,0.0085,0.334
1988,2,351.68,1701.18,306.699,242.064,440.937,0.665,1366.1079,0.0088,0.189
1988,3,352.24,1706.09,306.638,243.44,442.755,0.456,1365.9519,0.0078,0.248
1988,4,353.66,1708.18,306.581,244.954,443.846,0.307,1366.0642,0.0074,0.224
1988,5,354.18,1705.69,306.472,246.043,444.729,0.085,1366.3008,0.0071,0.175
1988,6,353.68,1699.06,306.379,246.338,445.352,-0.71,1366.0132,0.0071,0.2
1988,7,352.58,1687.9,306.468,247.245,447.106,-1.174,1365.8269,0.008,0.168
1988,8,350.66,1691.77,306.522,248.187,449.005,-1.374,1366.1451,0.0096,0.154
1988,9,349.03,1701.35,306.611,249.389,451.255,-1.586,1366.4616,0.0069,0.149
1988,10,349.08,1708.91,306.938,250.566,453.848,-1.35,1366.1118,0.0065,0.12
1988,11,350.15,1719.88,307.274,251.664,456.226,-1.468,1366.2957,0.0068,0.027
1988,12,351.44,1726.35,307.446,252.345,458.194,-1.343,1366.2598,0.0068,0.106
1989,1,352.89,1721.48,307.609,252.554,459.549,-1.166,1366.5409,0.0072,0.019
1989,2,353.24,1713.25,307.78,252.79,460.408,-1.312,1366.599,0.0064,0.094
1989,3,353.8,1715.68,307.747,253.161,461.292,-1.056,1366.3758,0.0062,0.088
1989,4,355.59,1724.08,307.662,253.623,462.96,-0.842,1366.5902,0.006,0.083
1989,5,355.89,1724.93,307.614,253.699,463.964,-0.488,1366.7788,0.0047,0.073
1989,6,355.3,1713.8,307.642,253.793,464.605,-0.273,1366.3298,0.0057,0.094
1989,7,353.98,1700.53,307.704,254.315,466.046,-0.454,1367.0685,0.0067,0.167
1989,8,351.53,1707.22,307.83,255.528,468.631,-0.501,1366.5084,0.0083,0.168
1989,9,350.02,1721.44,307.993,256.719,470.907,-0.28,1366.2616,0.0062,0.135
1989,10,350.29,1722.42,308.151,257.946,472.912,-0.318,1366.9553,0.0054,0.145
1989,11,351.44,1726.21,308.389,258.73,474.245,-0.066,1366.8248,0.0055,0.067
1989,12,352.84,1730.61,308.558,259.472,475.63,0.142,1366.8784,0.0054,0.181
1990,1,353.79,1727.9,308.651,259.917,476.396,0.234,1366.8759,0.0059,0.187
1990,2,354.88,1728.43,308.67,260.525,477.152,0.532,1366.6353,0.0074,0.242
1990,3,355.65,1733.82,308.703,260.594,477.409,0.916,1366.6447,0.0062,0.442
1990,4,356.28,1737.49,308.601,260.604,478.259,0.393,1366.8675,0.0044,0.285
1990,5,357.29,1734.47,308.564,260.699,479.174,0.593,1366.531,0.0044,0.231
1990,6,356.32,1722.26,308.46,261.138,480.57,0.389,1366.7708,0.006,0.233
1990,7,354.89,1712.71,308.411,261.594,481.251,0.084,1366.4602,0.0073,0.196
1990,8,352.89,1717.93,308.496,262.342,482.685,0.123,1366.1691,0.0074,0.227
1990,9,351.28,1733.81,308.718,263.107,484.643,0.376,1366.8029,0.0068,0.179
1990,10,351.59,1736.9,308.879,263.616,486.334,0.241,1366.6147,0.0058,0.271
1990,11,353.05,1741.42,309.072,264.455,487.528,0.372,1365.8518,0.006,0.278
1990,12,354.27,1749.58,309.227,265.182,488.674,0.335,1366.387,0.006,0.199
1991,1,354.87,1734.82,309.404,265.709,489.664,0.309,1366.0527,0.006,0.224
1991,2,355.68,1730.98,309.528,266.008,490.433,0.31,1366.3072,0.0057,0.272
1991,3,357.06,1746.52,309.467,265.86,491.114,0.393,1366.524,0.0055,0.161
1991,4,358.51,1749.54,309.381,265.876,491.634,0.444,1367.0578,0.0053,0.299
1991,5,359.09,1747.24,309.093,265.784,491.15,0.719,1366.426,0.0053,0.249
1991,6,358.1,1739.98,308.954,267.329,492.105,1.163,1366.4313,0.0179,0.269
1991,7,356.12,1730.94,308.789,267.25,493.348,1.011,1366.6668,0.0377,0.271
1991,8,353.89,1721.95,309.009,266.54,493.929,1.012,1366.4562,0.071,0.225
1991,9,352.3,1734.55,309.365,265.986,495.096,0.737,1366.8856,0.0964,0.176
1991,10,352.32,1751.75,309.527,266.846,496.798,1.017,1366.1477,0.1197,0.133
1991,11,353.79,1750.27,309.72,267.752,497.967,1.202,1366.6227,0.138,0.079
1991,12,355.07,1752.37,310.254,267.859,498.083,1.32,1365.9437,0.1385,0.084
1992,1,356.17,1755.57,310.48,268.05,499.467,1.75,1366.5226,0.1483,0.266
1992,2,356.93,1750.02,310.128,268.274,501.644,1.871,1366.4271,0.1494,0.25
1992,3,357.82,1752.39,309.69,268.477,502.436,1.992,1366.7462,0.1428,0.199
1992,4,359,1753.24,309.508,268.387,502.811,2.271,1366.5951,0.1386,0.132
1992,5,359.55,1744.48,309.383,268.65,504.226,2.13,1366.4173,0.1379,0.125
1992,6,359.32,1743.3,309.392,269.014,505.101,1.714,1366.2973,0.1265,0.118
1992,7,356.85,1736.28,309.687,269.483,505.671,0.946,1366.0569,0.1228,-0.008
1992,8,354.91,1725.65,309.985,269.912,507.207,0.536,1366.0305,0.1141,-0.007
1992,9,352.93,1729.78,310.229,270.497,508.52,0.512,1366.1615,0.1044,-0.062
1992,10,353.31,1740.76,310.252,270.765,508.614,0.669,1365.9202,0.0978,-0.072
1992,11,354.27,1755.29,310.216,270.886,508.737,0.602,1366.1329,0.0918,-0.097
1992,12,355.53,1758.32,310.293,271.057,509.265,0.644,1366.2845,0.0793,0.007
1993,1,356.86,1747.82,310.397,271.193,509.232,0.699,1366.3025,0.0743,0.204
1993,2,357.27,1745.64,310.344,270.814,509.287,0.999,1365.8985,0.0661,0.161
1993,3,358.36,1747.95,310.167,270.154,509.218,0.979,1366.209,0.0608,0.202
1993,4,359.27,1746.7,310.129,269.914,509.453,1.388,1366.1796,0.0559,0.121
1993,5,360.19,1749.5,310.008,270.53,510.264,1.987,1366.1425,0.0525,0.158
1993,6,359.52,1745.54,310.073,270.92,511.74,1.459,1366.1398,0.0482,0.122
1993,7,357.42,1731.92,310.357,270.46,513.309,1.09,1366.0917,0.0445,0.088
1993,8,355.46,1731.93,310.242,270.194,513.715,1.003,1366.0459,0.0425,0.06
1993,9,354.1,1744.46,309.942,270.685,513.455,0.982,1365.8892,0.0394,0.013
1993,10,354.12,1760.21,310.217,271.216,513.602,1.059,1365.7272,0.0376,0.061
1993,11,355.4,1767.99,310.429,271.339,514.557,0.822,1365.7575,0.035,-0.041
1993,12,356.84,1763.5,310.091,271.494,514.616,0.562,1365.9086,0.0312,0.111
1994,1,358.22,1759.84,309.951,271.238,514.991,0.338,1365.7375,0.0285,0.16
1994,2,358.98,1752.06,310.144,270.9,515.387,0.192,1365.9885,0.0265,-0.072
1994,3,359.91,1754.63,310.03,270.676,515.302,0.159,1366.0304,0.0238,0.176
1994,4,361.32,1763.75,310.089,270.924,515.243,0.423,1365.8642,0.0218,0.173
1994,5,361.68,1755.04,310.157,270.691,515.523,0.521,1365.7634,0.0205,0.218
1994,6,360.8,1746.61,310.162,270.516,516.232,0.734,1365.764,0.0185,0.191
1994,7,359.39,1737.42,310.089,270.85,517.172,0.823,1365.7607,0.0179,0.141
1994,8,357.42,1733.9,310.216,271.228,517.716,0.743,1365.7771,0.0173,0.175
1994,9,355.63,1757.14,310.526,271.042,518.274,0.88,1365.6473,0.0161,0.156
1994,10,356.09,1778.6,310.813,270.928,519.545,1.433,1365.7159,0.0166,0.23
1994,11,357.56,1781.02,310.914,271.087,520.879,1.278,1365.8294,0.0159,0.248
1994,12,358.87,1779.12,310.947,270.807,521.311,1.184,1365.7053,0.016,0.227
1995,1,359.87,1764.33,311.115,270.435,521.54,1.2,1365.825,0.012,0.349
1995,2,360.79,1756.89,311.216,270.304,521.752,0.961,1365.8141,0.0117,0.449
1995,3,361.77,1764.65,311.124,270.098,522.426,0.862,1365.7192,0.0109,0.286
1995,4,363.23,1762.72,310.918,269.861,523.229,0.419,1365.6222,0.01,0.229
1995,5,363.77,1761.94,310.824,269.941,523.768,0.494,1365.6586,0.01,0.176
1995,6,363.22,1759.03,310.871,269.873,523.966,0.454,1365.7249,0.0093,0.283
1995,7,361.7,1749.21,310.713,269.636,524.878,0.182,1365.696,0.0094,0.276
1995,8,359.11,1750.94,310.697,269.661,525.647,-0.197,1365.715,0.0087,0.305
1995,9,358.11,1761.26,310.828,269.792,525.989,-0.468,1365.6943,0.0085,0.21
1995,10,357.97,1768.73,311.156,269.799,526.535,-0.487,1365.603,0.0088,0.241
1995,11,359.4,1768.11,311.282,269.967,527.047,-0.495,1365.6735,0.0086,0.266
1995,12,360.61,1772.75,311.428,269.981,527.476,-0.559,1365.6402,0.0077,0.163
1996,1,362.04,1771.15,311.62,269.579,528.077,-0.644,1365.6409,0.0074,0.069
1996,2,363.17,1770.25,311.83,269.384,528.897,-0.595,1365.6254,0.0072,0.246
1996,3,364.17,1769.7,311.828,269.482,528.589,-0.264,1365.5815,0.0068,0.13
1996,4,364.51,1758.89,311.711,269.61,528.263,-0.505,1365.6076,0.0063,0.097
1996,5,365.16,1754.78,311.533,269.456,528.449,-0.178,1365.6243,0.0067,0.177
1996,6,364.93,1753.6,311.478,269.163,528.67,-0.001,1365.6256,0.006,0.159
1996,7,363.53,1747.03,311.481,268.803,528.804,-0.208,1365.5968,0.0066,0.177
1996,8,361.38,1745.36,311.66,268.982,529.492,-0.396,1365.6629,0.0062,0.178
1996,9,359.6,1766.96,311.739,268.964,530.227,-0.499,1365.6787,0.0059,0.093
1996,10,359.54,1774.5,311.85,268.728,530.837,-0.387,1365.6315,0.0064,0.089
1996,11,360.84,1769.75,312.03,268.673,531.628,-0.161,1365.4708,0.0064,0.077
1996,12,362.18,1772.83,312.358,268.872,532.22,-0.338,1365.6994,0.0061,0.172
1997,1,363.04,1769.9,312.408,268.715,532.302,-0.487,1365.6956,0.006,0.156
1997,2,364.09,1768.98,312.461,268.491,532.387,-0.607,1365.6713,0.0057,0.247
1997,3,364.47,1776.07,312.584,268.388,532.452,-0.254,1365.6975,0.0053,0.262
1997,4,366.25,1780.96,312.652,268.151,532.257,0.493,1365.7013,0.0052,0.201
